09:34:42.224 [main] DEBUG logInfo - i am from debug
09:34:42.230 [main] ERROR logInfo - i am from error
09:34:42.230 [main] INFO  logInfo - i am from info
09:34:42.230 [main] FATAL logInfo - i am from fatal===
09:43:31.895 [main] INFO  base.TestBase - This is onStart method : C:\Santosh\Automation\Workspace_new\NovSelenium\test-output\Suite
09:44:33.545 [main] INFO  base.TestBase - New Test Started : signInTestcase001
09:44:33.546 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign in
09:44:33.575 [main] INFO  base.TestBase - Found Element By : By.linkText: Sign in
09:44:33.593 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (b847e6f3b53584952b44b087c24dff43)] -> link text: Sign in]
09:44:53.561 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (b847e6f3b53584952b44b087c24dff43)] -> link text: Sign in]
09:44:53.562 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='email']
09:44:53.588 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='email']
09:44:53.668 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='passwd']
09:44:53.689 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='passwd']
09:44:53.762 [main] INFO  base.TestBase - Trying to find Element By : By.name: SubmitLogin
09:44:53.778 [main] INFO  base.TestBase - Found Element By : By.name: SubmitLogin
09:44:53.778 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (b847e6f3b53584952b44b087c24dff43)] -> name: SubmitLogin]
09:45:12.929 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (b847e6f3b53584952b44b087c24dff43)] -> name: SubmitLogin]
09:45:12.931 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
09:45:12.949 [main] INFO  base.TestBase - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
09:45:12.966 [main] INFO  base.TestBase - Test Successfully Finished : signInTestcase001
09:45:13.082 [main] INFO  base.TestBase - This is onFinish method  : [ResultMap map=[[TestResult name=signInTestcase001 status=SUCCESS method=SignInTestcases.signInTestcase001()[pri:0, instance:testcases.SignInTestcases@41813449] output={null}]]]
09:45:13.083 [main] INFO  base.TestBase - This is onFinish method  : [ResultMap map=[]]
09:50:19.089 [main] INFO  base.TestBase - This is onStart method : C:\Santosh\Automation\Workspace_new\NovSelenium\test-output\Suite
09:51:14.050 [main] INFO  base.TestBase - New Test Started : signInTestcase001
09:51:14.051 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign in
09:51:14.076 [main] INFO  base.TestBase - Found Element By : By.linkText: Sign in
09:51:14.082 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (53da92430a4c377a047b6adca9e54582)] -> link text: Sign in]
09:51:26.985 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (53da92430a4c377a047b6adca9e54582)] -> link text: Sign in]
09:51:26.988 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='email']
09:51:27.013 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='email']
09:51:27.096 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='passwd']
09:51:27.113 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='passwd']
09:51:27.194 [main] INFO  base.TestBase - Trying to find Element By : By.name: SubmitLogin
09:51:27.214 [main] INFO  base.TestBase - Found Element By : By.name: SubmitLogin
09:51:27.214 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (53da92430a4c377a047b6adca9e54582)] -> name: SubmitLogin]
09:51:40.757 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (53da92430a4c377a047b6adca9e54582)] -> name: SubmitLogin]
09:51:40.757 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
09:51:40.777 [main] INFO  base.TestBase - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
09:51:40.788 [main] INFO  base.TestBase - Successfully logined to account
09:51:40.792 [main] INFO  base.TestBase - Test Successfully Finished : signInTestcase001
09:51:40.942 [main] INFO  base.TestBase - This is onFinish method  : [ResultMap map=[[TestResult name=signInTestcase001 status=SUCCESS method=SignInTestcases.signInTestcase001()[pri:0, instance:testcases.SignInTestcases@41813449] output={null}]]]
09:51:40.943 [main] INFO  base.TestBase - This is onFinish method  : [ResultMap map=[]]
10:25:31.657 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign in
10:25:31.691 [main] INFO  base.TestBase - Found Element By : By.linkText: Sign in
10:25:31.697 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (960a9151bcf804f64b1eba3dcd28908f)] -> link text: Sign in]
10:25:46.184 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (960a9151bcf804f64b1eba3dcd28908f)] -> link text: Sign in]
10:25:46.185 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='email']
10:25:46.203 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='email']
10:25:46.292 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='passwd']
10:25:46.310 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='passwd']
10:25:46.384 [main] INFO  base.TestBase - Trying to find Element By : By.name: SubmitLogin
10:25:46.401 [main] INFO  base.TestBase - Found Element By : By.name: SubmitLogin
10:25:46.402 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (960a9151bcf804f64b1eba3dcd28908f)] -> name: SubmitLogin]
10:25:57.038 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (960a9151bcf804f64b1eba3dcd28908f)] -> name: SubmitLogin]
10:25:57.040 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
10:25:57.065 [main] INFO  base.TestBase - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
09:14:19.983 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign in
09:14:20.024 [main] INFO  base.TestBase - Found Element By : By.linkText: Sign in
09:14:20.029 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (e50243250f524545aec4179b702286ea)] -> link text: Sign in]
09:14:37.640 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (e50243250f524545aec4179b702286ea)] -> link text: Sign in]
09:14:37.643 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='email']
09:14:37.668 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='email']
09:14:37.757 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='passwd']
09:14:37.773 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='passwd']
09:14:37.848 [main] INFO  base.TestBase - Trying to find Element By : By.name: SubmitLogin
09:14:37.867 [main] INFO  base.TestBase - Found Element By : By.name: SubmitLogin
09:14:37.868 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (e50243250f524545aec4179b702286ea)] -> name: SubmitLogin]
09:14:55.616 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (e50243250f524545aec4179b702286ea)] -> name: SubmitLogin]
09:14:55.620 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
09:14:55.641 [main] INFO  base.TestBase - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
09:16:00.319 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign in
09:16:00.345 [main] INFO  base.TestBase - Found Element By : By.linkText: Sign in
09:16:00.345 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (f5802e62b767347e68df3bfe0a06e75e)] -> link text: Sign in]
09:16:22.762 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (f5802e62b767347e68df3bfe0a06e75e)] -> link text: Sign in]
09:16:22.763 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='email']
09:16:22.780 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='email']
09:16:22.859 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='passwd']
09:16:22.878 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='passwd']
09:16:22.960 [main] INFO  base.TestBase - Trying to find Element By : By.name: SubmitLogin
09:16:22.978 [main] INFO  base.TestBase - Found Element By : By.name: SubmitLogin
09:16:22.979 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (f5802e62b767347e68df3bfe0a06e75e)] -> name: SubmitLogin]
09:16:35.686 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (f5802e62b767347e68df3bfe0a06e75e)] -> name: SubmitLogin]
09:16:35.686 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
09:16:35.712 [main] INFO  base.TestBase - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
09:21:53.734 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign in
09:21:53.773 [main] INFO  base.TestBase - Found Element By : By.linkText: Sign in
09:21:53.779 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (0755bb33b5929773777e2125c354a9d9)] -> link text: Sign in]
09:22:04.480 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (0755bb33b5929773777e2125c354a9d9)] -> link text: Sign in]
09:22:04.481 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='email']
09:22:04.505 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='email']
09:22:04.587 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='passwd']
09:22:04.603 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='passwd']
09:22:04.675 [main] INFO  base.TestBase - Trying to find Element By : By.name: SubmitLogin
09:22:04.692 [main] INFO  base.TestBase - Found Element By : By.name: SubmitLogin
09:22:04.692 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (0755bb33b5929773777e2125c354a9d9)] -> name: SubmitLogin]
09:22:15.800 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (0755bb33b5929773777e2125c354a9d9)] -> name: SubmitLogin]
09:22:15.806 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign out
09:22:15.830 [main] INFO  base.TestBase - Found Element By : By.linkText: Sign out
09:22:38.163 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign in
09:22:38.185 [main] INFO  base.TestBase - Found Element By : By.linkText: Sign in
09:22:38.186 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (4984bd820a5e233e13055844dff28f60)] -> link text: Sign in]
09:22:48.345 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (4984bd820a5e233e13055844dff28f60)] -> link text: Sign in]
09:22:48.347 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='email']
09:22:48.366 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='email']
09:22:48.443 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='passwd']
09:22:48.460 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='passwd']
09:22:48.533 [main] INFO  base.TestBase - Trying to find Element By : By.name: SubmitLogin
09:22:48.550 [main] INFO  base.TestBase - Found Element By : By.name: SubmitLogin
09:22:48.550 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (4984bd820a5e233e13055844dff28f60)] -> name: SubmitLogin]
09:22:56.151 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (4984bd820a5e233e13055844dff28f60)] -> name: SubmitLogin]
09:22:56.152 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign out
09:23:06.169 [main] INFO  base.TestBase - Exception occured: org.openqa.selenium.NoSuchElementException: no such element: Unable to locate element: {"method":"link text","selector":"Sign out"}
  (Session info: chrome=96.0.4664.110)
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'DESKTOP-8IO9O82', ip: '192.168.43.183', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '15.0.2'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 96.0.4664.110, chrome: {chromedriverVersion: 96.0.4664.45 (76e4c1bb2ab46..., userDataDir: C:\Users\santo\AppData\Loca...}, goog:chromeOptions: {debuggerAddress: localhost:63216}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:virtualAuthenticators: true}
Session ID: 4984bd820a5e233e13055844dff28f60
*** Element info: {Using=link text, value=Sign out}
09:26:56.048 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign in
09:26:56.087 [main] INFO  base.TestBase - Found Element By : By.linkText: Sign in
